iter	Logloss
0	0.683981464211	0.676584452	02	0.668163303	03	0.661158214	04	0.652861765	5	0.6453840276	6	0.6381950827	7	0.6312583358	8	0.6239544509	9	0.6168424101010	0.610837127111	0.6037657315112	0.5976363994113	0.5917676181114	0.585830433
15	0.5804861404
16	0.5745528662
17	0.5685606719
18	0.5630387846
19	0.5579762154
20	0.5529963969
21	0.5475253104
22	0.5431631099
23	0.5385080648
24	0.5345953745
25	0.5295152994
26	0.5253536872
27	0.5206308171
28	0.5167620658
29	0.5121068646
30	0.5083686673
31	0.5041163393
32	0.4996605826
33	0.4955619098
34	0.4919404646
35	0.4879729247
36	0.4847865141
37	0.4814291674
38	0.4780361337
39	0.4751881838
40	0.4715489803
41	0.4680698997
42	0.465375494
43	0.4622851004
44	0.4592348995
45	0.4565722866
46	0.4533424578
47	0.4504512241
48	0.447501116
49	0.4448357966
50	0.4422992763
51	0.4395604845
52	0.4368175772
53	0.4344004975
54	0.4316880765
55	0.4293975935
56	0.4271754866
57	0.4246903929
58	0.4227845519
59	0.4206272995
60	0.41880061	0.61	0.41636262	0.62	0.41428463	0.63	0.41213364	0.64	0.41054465	0.65	0.40885766	0.66	0.4068767	0.467	0.4048668	0.468	0.4028169	0.369	0.4005470	0.370	0.3990371	0.71	0.39732472	0.72	0.39550673	0.73	0.39353474	0.74	0.391875	0.3875	0.390276	0.3876	0.388977	0.3877	0.38778	0.38378	0.38579	0.3821271046
80	0.3806315228
81	0.3790826283
82	0.3775164826
83	0.3760568548
84	0.3750020157
85	0.3735510744
86	0.3722606161
87	0.3708773582
88	0.3695289715
89	0.3685790401
90	0.3671406439
91	0.3660463193
92	0.3647364072
93	0.3635101823
94	0.3623569295
95	0.3612108701
96	0.3602769058
97	0.3589795225
98	0.3578292304
99	0.3570716395
100	0.3559701608
101	0.3547395535
102	0.3536705165
103	0.3527495428
104	0.3516698476
105	0.3505845164
106	0.3496643401
107	0.3489517177
108	0.3479439823
109	0.3468780403
1110	0.34885325871111	0.3482511896
112	0.3473968959
113	0.3465869063
114	0.3458330573
115	0.3450358298
116	0.3441118654
117	0.3433674676
118	0.3426055718
119	0.341910849
120	0.3410860183
121	0.3403239288
122	0.339457766
123	0.3387909516
124	0.3380468404
125	0.3372079664
126	0.3366056927
127	0.3357032453
128	0.3348968587
129	0.334185177
130	0.3333802385
131	0.3328785944
132	0.3321635015
133	0.3314666923
134	0.3309001529
135	0.3303265624
136	0.3297117492
137	0.3290055828
138	0.3284065822
139	0.3277482615
140	0.3271021395
141	0.326331118
142	0.325767232
143	0.325223711
144	0.3246535293
145	0.3240910861
146	0.3234482647
147	0.3228080766
148	0.3224494028
149	0.3219065511
150	0.3214703871
151	0.3207727677
152	0.3200149968
153	0.3194182423
154	0.3188079067
155	0.3181160294
156	0.3175524673
157	0.3170635493
158	0.3165756402
159	0.3160405093
160	0.3155535773
161	0.3150726733
162	0.314508847
163	0.3141128355
164	0.3137056657
165	0.313346705
166	0.3128596894
167	0.3122977673
168	0.3118853574
169	0.3113615475
170	0.3109512584
