iter	Passed	Remaining
0	6	6217
1	10	502222	14	475033	19	480944	24	477655	28	472866	32	459177	37	465588	42	465799	46	4579110	50	4578111	55	4579112	59	4543113	64	4531114	68	4506115	72	4482116	77	4479117	82	4476
18	86	4459
19	90	4423
20	95	4436
21	100	4448
22	104	4457
23	109	4448
24	112	4396
25	118	4440
26	123	4446
27	127	4442
28	132	4430
29	136	4420
30	140	4400
31	145	4401
32	150	4423
33	156	4448
34	161	4456
35	166	4459
36	172	4488
37	177	4503
38	182	4498
39	188	4526
40	193	4528
41	198	4537
42	204	4560
43	211	4595
44	218	4642
45	225	4677
46	232	4706
47	239	4752
48	246	4780
49	253	4822
50	261	4869
51	268	4902
52	274	4912
53	280	4913
54	285	4898
55	290	4888
56	295	4895
57	301	4903
58	307	4904
59	313	4904
60	319	4961	61	326	4962	62	332	4963	63	340	4964	64	347	4965	65	354	5066	66	363	5067	67	373	5168	68	380	5169	69	386	5170	70	392	5171	71	398	5172	72	404	5173	73	409	5174	74	415	5175	75	421	5176	76	428	5177	77	434	5178	78	440	5179	452	5208
80	461	5230
81	467	5233
82	474	5246
83	486	5307
84	495	5338
85	504	5363
86	516	5419
87	529	5486
88	536	5495
89	550	5565
90	558	5580
91	567	5603
92	576	5626
93	584	5633
94	596	5686
95	609	5743
96	624	5812
97	630	5805
98	649	5909
99	660	5946
100	672	5986
101	680	5992
102	694	6047
103	708	6100
104	734	6264
105	751	6341
106	764	6383
107	775	6401
108	786	6431
109	793	6420
110	797	6389
111	815	6469
112	830	6517
113	843	6557
114	854	6575
115	869	6624
116	877	6620
117	891	6659
118	909	6730
119	923	6769
120	933	6781
121	950	6840
122	963	6867
123	981	6932
124	994	6963
125	1007	6988
126	1017	6993
127	1024	6982
128	1031	6967
129	1039	6957
130	1050	6970
131	1074	7066
132	1087	7089
133	1114	7202
134	1134	7269
135	1146	7283
136	1170	7370
137	1204	7520
138	1230	7619
139	1262	7753
140	1280	7800
141	1301	7864
142	1312	7867
143	1328	7896
144	1344	7929
145	1361	7964
146	1380	8007
147	1399	8058
148	1416	8087
149	1443	8181
150	1460	8213
151	1484	8281
152	1510	8361
153	1530	8406
154	1552	8461
155	1582	8562
156	1609	8643
157	1633	8706
158	1652	8741
159	1680	8825
160	1703	8879
161	1727	8934
162	1744	8956
163	1755	8949
164	1768	8948
165	1778	8935
166	1790	8929
167	1801	8923
168	1810	8903
169	1825	8913
170	1839	8918
171	1851	8915
172	1862	8903
173	1874	8899
174	1887	8899
175	1907	8931
176	1927	8962
177	1945	8983
178	1956	8974
179	1973	8990
180	1984	8980
181	2000	8989
182	2012	8983
183	2024	8977
184	2033	8960
185	2044	8948
186	2061	8964
187	2074	8958
188	2092	8977
189	2113	9009
190	2128	9015
191	2135	8986
192	2149	8989
193	2172	9026
194	2180	9002
195	2196	9009
196	2210	9009
197	2221	9000
198	2244	9033
199	2259	9039
200	2274	9041
201	2286	9032
202	2296	9016
203	2309	9013
204	2317	8986
205	2329	8979
206	2345	8985
207	2360	8986
208	2375	8988
209	2387	8982
210	2415	9033
211	2433	9046
212	2445	9036
213	2465	9055
214	2474	9034
215	2489	9036
216	2507	9047
217	2514	9021
218	2525	9005
219	2531	8977
220	2540	8956
221	2545	8920
222	2554	8899
223	2561	8873
224	2566	8841
225	2576	8823
226	2585	8803
227	2591	8774
228	2599	8752
229	2609	8737
230	2617	8713
231	2627	8697
232	2638	8683
233	2648	8670
234	2654	8639
235	2659	8608
236	2674	8611
237	2681	8585
238	2688	8560
239	2694	8532
240	2706	8523
241	2714	8502
242	2723	8485
243	2730	8461
244	2738	8437
245	2747	8419
246	2757	8407
247	2763	8379
248	2769	8353
249	2776	8330
250	2782	8304
251	2789	8281
252	2795	8254
253	2801	8226
254	2807	8201
255	2813	8175
256	2820	8153
257	2825	8127
258	2832	8103
259	2838	8078
260	2844	8053
261	2850	8028
262	2855	8002
263	2861	7976
264	2866	7950
265	2876	7936
266	2884	7919
267	2891	7896
268	2900	7881
269	2904	7854
270	2910	7829
271	2916	7804
272	2922	7781
273	2927	7756
274	2933	7732
275	2938	7708
276	2943	7682
277	2949	7661
278	2954	7634
279	2958	7608
280	2963	7582
281	2967	7556
282	2972	7531
283	2977	7506
284	2982	7482
285	2986	7455
286	2991	7431
287	2996	7407
288	3001	7385
289	3007	7361
290	3011	7337
291	3015	7312
292	3019	7287
293	3025	7266
294	3030	7242
295	3035	7219
296	3040	7196
297	3045	7173
298	3049	7149
299	3054	7127
300	3058	7103
301	3063	7080
302	3068	7058
303	3073	7037
304	3078	7014
305	3082	6991
306	3086	6967
307	3092	6947
308	3098	6929
309	3106	6914
310	3118	6908
311	3123	6887
312	3130	6871
313	3136	6852
314	3142	6834
315	3151	6821
316	3157	6802
317	3164	6785
318	3171	6770
319	3176	6750
320	3184	6736
321	3189	6716
322	3194	6696
323	3200	6678
324	3205	6658
325	3209	6636
326	3214	6614
327	3218	6594
328	3224	6577
329	3230	6558
330	3234	6537
331	3239	6518
332	3244	6498
333	3250	6481
334	3255	6462
335	3262	6446
336	3268	6429
337	3273	6412
338	3279	6395
339	3286	6378
340	3291	6360
341	3296	6342
342	3301	6324
343	3307	6307
344	3313	6290
345	3318	6271
346	3323	6254
347	3329	6237
348	3335	6221
349	3341	6205
350	3347	6188
351	3352	6172
352	3358	6155
353	3364	6139
354	3370	6123
355	3376	6107
356	3382	6092
357	3388	6076
358	3393	6059
359	3399	6043
360	3405	6027
361	3411	6011
362	3417	5996
363	3422	5980
364	3428	5964
365	3433	5948
366	3440	5933
367	3445	5917
368	3451	5901
369	3456	5885
370	3462	5869
371	3467	5853
372	3472	5837
373	3477	5820
374	3483	5805
375	3488	5789
376	3494	5774
377	3500	5759
378	3506	5745
379	3511	5729
380	3517	5714
381	3523	5700
382	3529	5685
383	3535	5671
384	3541	5657
385	3546	5641
386	3551	5625
387	3556	5610
388	3562	5596
389	3568	5581
390	3575	5568
391	3580	5553
392	3586	5538
393	3592	5525
394	3598	5511
395	3604	5497
396	3610	5483
397	3615	5468
398	3621	5454
399	3626	5440
400	3632	5425
401	3637	5410
402	3642	5396
403	3648	5382
404	3654	5368
405	3660	5354
406	3666	5341
407	3672	5328
408	3677	5313
409	3682	5299
410	3688	5285
411	3694	5272
412	3698	5256
413	3703	5241
414	3708	5227
415	3713	5213
